Name,Institution,Department,Discipline,Research Speacializations,,,City,Country,,,,,,,
Alonso de Llanes,Laudato Si' Action Platform,,"Business & Management
Theology & Religious Studies",Integral Ecology,Environmental Policy,Climate Action,Rome,Italy,,,,,,,
AmŽlie Lachapelle,UniversitŽ de Namur,Faculty of Law (CRIDS/NaDI),Law,Environmental Law,Whistleblowing,Digital Law,Namur,Belgium,,,,,,,
Augusto Mussi Alvim,Pontifical Catholic University of Rio Grande do Sul,Business School,Economics,Agribusiness,Environmental Policy,International Trade,Porto Alegre,Brazil,,,,,,,
Bart Muys,Katholieke Universiteit Leuven,"Division Forest, Nature and Landscape, Dept. of Earth & Environmental Sciences",Biology & Ecology,Forest Ecology,Forest Management,Bioenergy,Leuven,Belgium,,,,,,,
Benjamin de Foy,Saint Louis University,"Department of Earth, Environmental and Geospatial Science",Earth & Environmental Sciences,Atmospheric Chemistry,Air Quality,Numerical Weather Prediction,Saint Louis,United States,,,,,,,
Br. Adolf Mugume,"Holy Cross Generalate, Congregation of Holy Cross",,Theology & Religious Studies,Integral Ecology,Youth Environmental Engagement,,Rome,Italy,,,,,,,
Caesar Montevecchio,University of Notre Dame,Kroc Institute for International Peace Studies,Theology & Religious Studies,Catholic Peacebuilding,Education,Global Catholicism,South Bend,United States,,,,,,,
Carmen G. Gonzalez,Loyola University Chicago,Loyola University Chicago School of Law,Law,Human Rights,Environmental Justice,International Environmental Law,Chicago,United States,,,,,,,
Caroline Baillie,University of San Diego,"Department of Integrated Engineering, Shiley-Marcos School of Engineering",Engineering,Engineering and Social Justice,Waste Management,Engineering Education,San Diego,United States,,,,,,,
Caterina Bracchi,Universitˆ Cattolica del Sacro Cuore,Alta Scuola per l'Ambiente (ASA),"Environmental & Sustainability Studies
Sociology",Urban Climate Change,Green Economy,Climate-Neutral Cities,Milan,Italy,,,,,,,
Cecilia Herzog,Pontifical Catholic University of Rio de Janerio (Retired),Department of Architecture and Urbanism,Architecture & Built Environment,Nature-based Solutions,Urban Ecology,Ecological Landscape Planning,Rio de Janeiro,Brazil,,,,,,,
Dan Miller,University of Notre Dame,Keough School of Global Affairs,Development Studies,Environmental Policy,Conservation Finance,Forest Governance,South Bend,United States,,,,,,,
David Obura,Intergovernmental Platform on Biodiversity and Ecosystem Services,CORDIO East Africa,Biology & Ecology,Coral Reef Resilience,Climate Change,Environmental Resilience,Mombasa,Kenya,,,,,,,
Deborah Delgado Pugley,Pontificia Universidad Catolica del Peru,Departamento Academico de Ciencias Sociales - Seccion Sociologia,Sociology,Commons,Environmental Justice,Indigenous Peoples,Lima,Peru,,,,,,,
Diana Urge-Vorsatz,Central European University,Department of Environmental Sciences and Policy,Earth & Environmental Sciences,Sustainable Energy,Energy Efficiency,Energy Trends,Vienna,Austria,,,,,,,
Fr. Dan Groody,University of Notre Dame,Department of Theology,Theology & Religious Studies,Theologies of Migration,Spirituality of Immigrants,Social Change,South Bend,United States,,,,,,,
Fr. Emmanuel Katongole,University of Notre Dame,Kroc Institute for International Peace Studies,Theology & Religious Studies,Theology and Peace Studies,Political Theology,Environmental Ethics,South Bend,United States,,,,,,,
Fr. Peter Rozic,University of Oxford,"Laudato Si' Research Institute, Campion Hall Ñ Integral Ecology Research Network (IERN)","Political Science & Policy
Theology & Religious Studies",Ecological Governance,Institutional Development,Environmental Justice,Oxford,United Kingdom,,,,,,,
Gautam Yadama,Boston College,School of Social Work,Social Work,Environmental Justice,Global Practice,Poverty Dynamics,Chestnut Hill,United States,,,,,,,
Hanqin Tian,Boston College,Center for Earth Systems Science and Global Sustainability (Schiller Institute),Earth & Environmental Sciences,Global Change Ecology,Sustainable Food Systems,Biospheric Modeling,Boston,United States,,,,,,,
Ilaria Beretta,Universita Cattolica del Sacro Cuore,Department of Sociology,Sociology,Sustainable Policy,Environmental Governance,Integral Ecology,Brescia,Italy,,,,,,,
Isabel Capeloa Gil,Universidade Cat—lica Portuguesa (UCP) Strategic Alliance of Catholic Research Universities (SACRU),Faculty of Human Sciences,Humanities (Other),Culture Studies,Comparative Literature,Memory Studies,Lisbon,Portugal,,,,,,,
Jacob Weger,Seton Hall University,"Department of Sociology, Anthropology, and Criminal Justice",Anthropology,Political Ecology,Environmental Studies,International Development,South Orange,United States,,,,,,,
Jesœs S‡nchez Camacho,Pontificia Universidad Comillas,Department of Moral Theology and Praxis of the Christian Life,Theology & Religious Studies,Religion and Media,Integral Ecology,Social Impact,Madrid,Spain,,,,,,,
Johanna Herrera,Pontificia Universidad Cat—lica del Ecuador (PUCE),"Department of Learning, Languages, and Communication",Education,Integral Ecology,Innovation,Health and Well-Being,Quito,Ecuador,,,,,,,
Joule Bergerson,University of Notre Dame,ND Energy,Engineering,Energy Technology Assessment,Life Cycle Assessment,Greenhouse Gas Emissions,South Bend,United States,,,,,,,
Joyeeta Gupta,University of Amsterdam,"Department of Human Geography, Planning and International Development Studies (Governance and Inclusive Development)",Development Studies,Climate Justice,Earth-System Boundaries,Governance,Amsterdam,Netherlands,,,,,,,
Kim Sang-hyun,Sogang University,Institute for Whole Person Education,Sociology,Politics of Development,Environmental Activism,Technology,Seoul,South Korea,,,,,,,
Krister Andersson,University of Notre Dame,Keough School of Global Affairs (Pulte Institute for Global Development),Development Studies,Public Policy,Environmental Governance,Collective Action,South Bend,United States,,,,,,,
Lorna Gold,Laudato Si' Movement,,"Development Studies
Geography",Fossil Fuel Divestment,Faith-Based Climate Activism,Climate Education,County Kildare,Ireland,,,,,,,
Lucia Ann Silecchia,The Catholic University of America,Columbus School of Law,Law,Environmental Ethics,Catholic Social Teaching,Environmental Law,"Washington, D.C.",United States,,,,,,,
Maria Assunta C. Cuyegkeng,Ateneo de Manlla University,Department of Educational Leadership and Management,Education,Systems Thinking,Social Entrepreneurship,Leadership,Quezon City,Philippines,,,,,,,
Maria Monica Daza Ondarza Salamanca,Universidad Cat—lica Boliviana San Pablo,,"Law
Education",Comparative Educational Legislation,Academic Accreditation,Curricular Innovation,Cochabamba,Bolivia,,,,,,,
Maritza Paredes Gonzales,Pontificia Universidad Catolica del Peru,"Department of Social Sciences, Sociology Section",Sociology,Climate Change,Indigenous Communities,Environmental Sociology,Lima,Peru,,,,,,,
Mary Gallagher,University of Notre Dame,Keough School of Global Affairs,Political Science & Policy,Chinese Politics,Human Rights,Democracy,South Bend,United States,,,,,,,
Ming Hu,University of Notre Dame,School of Architecture and College of Engineering,Architecture & Built Environment,Sustainable Design,Energy,Health and Well-Being,South Bend,United States,,,,,,,
Nancy Grimm,Arizona State University,School of Life Sciences,Biology & Ecology,Resilience,Climate Change,Urban Ecology,Tempe,United States,,,,,,,
Neidy Lorena Clavijo Ponce,Pontifical Javeriana University,Department of Rural and Regional Development,"Agriculture & Food Systems
Development Studies",Agroecology,Agrobiodiversity,Rural Development,Bogota,Colombia,,,,,,,
Paolo Galizzi,Fordham University,"Leitner Center for International Law and Justice, School of Law",Law,Human Rights,International Law,Environmental Law,New York City,United States,,,,,,,
Paolo Luzzi,University of Florence,"Botanical Garden 'Giardino dei Semplici', Museum of Natural History","Biology & Ecology
Theology & Religious Studies",Medicinal Plants,Botanical History,Plant Symbolism,Florence,Italy,,,,,,,
Paulina Nœ–ez,Universidad Francisco de Vitoria,Department of Humanities,"Environmental & Sustainability Studies
Philosophy & Ethics",Human Rights,Bioethics,Integral Ecology,Madrid,Spain,,,,,,,
Peter P. Marra,Georgetown University,Earth Commons Institute for the Environment and Sustainability,Biology & Ecology,Avian Ecology,Migratory Birds,Ornithology,"Washington, D.C.",United States,,,,,,,
Philip J. Landrigan,Boston College,"Program for Global Public Health and the Common Good, Biology Department (Schiller Institute)",Public Health,Children's Environmental Health,Global Public Health,Environment and Health,Chestnut Hill,United States,,,,,,,
Ramzy Kahhat,Pontificia Universidad Catolica del Peru,Departamento de Ingenier’a; PELCAN (Peruvian Life Cycle Assessment and Industrial Ecology Network),Engineering,Life Cycle Assessment,Industrial Ecology,Waste Management,Lima,Peru,,,,,,,
Rev. Prof. Ferdinand Muhigirwa Rusembuka SJ,UniversitŽ Loyola du Congo,,Theology & Religious Studies,,,,Kinshasa,Democratic Republic of Congo,,,,,,,
Rev. Prof. Joshtrom Kureethadam SDB,Pontificia Universitˆ Salesiana,Institute of Social and Political Sciences,Philosophy & Ethics,Care for Creation,Laudato Si',Philosophy of Science,Rome,Italy,,,,,,,
Sophie CalmŽ,Universite de Sherbrooke,DŽpartement de biologie,Biology & Ecology,Conservation Ecology,Global Change Ecology,Human-Wildlife Relationships,Sherbrooke,Canada,,,,,,,
Sophie Izoard-Allaux,Universite Catholique de Lille,FacultŽ de ThŽologie,Theology & Religious Studies,Social Morality,Integral Ecology,Political Ethics,Lille,France,,,,,,,
Spencer S. Stober,Alvernia University,"College of Innovation, Discovery, and Enterprise","Biology & Ecology
Environmental & Sustainability Studies",Sustainable Communities,Environmental Sustainability,Emerging Technologies,Reading,United States,,,,,,,
Sr. Damien Marie Savino,University of Notre Dame,Department of Civil and Environmental Engineering and Earth Sciences,"Engineering
Theology & Religious Studies",Integral Ecology,Engineering Design,Ecology and Theology,South Bend,United States,,,,,,,
Susan Lourdes Leliss Santillan Butron,Universidad Cat—lica Boliviana San Pablo,,"Education
Business & Management",,,,La Paz,Bolivia,,,,,,,
Susan Pan,Boston College,Department of Engineering (joint with Environmental Studies Program),"Earth & Environmental Sciences
Engineering",Geospatial Data Science,Machine Learning,Water Security,Boston,United States,,,,,,,
Tanya Hayes,Seattle University,Department of Public Affairs and Nonprofit Leadership / Environment and Sustainability Program,"Development Studies
Political Science & Policy",Environmental Governance,Community Resource Management,Institutional Analysis,Seattle,United States,,,,,,,
Thierry Ngosso,Institut Catholique de Yaounde,Philosophy Department,"Philosophy & Ethics
Political Science & Policy",Human Rights,Social Justice,Climate Change,Yaounde,Cameroon,,,,,,,
Tracy Kijewski-Correa,University of Notre Dame,Pulte Institute for Global Development,Engineering,Disaster Risk Reduction,Hazard Resilience,Resilient Communities,South Bend,United States,,,,,,,
Vidfa Carolina Garvizu Auza,Universidad Cat—lica Boliviana San Pablo,"CINAES - Centro de Investigaci—n en Agua, Energ’a y Sostenibilidad","Engineering
Environmental & Sustainability Studies",Water Treatment,Water Management,Energy,La Paz,Bolivia,,,,,,,
Willem de Witte,Radboud University,Laudato si' Institute,"Philosophy & Ethics
Environmental & Sustainability Studies",Integral Ecology,Theology,,Nijmegen,Netherlands,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
